LISTA DE IDS DISPONIBLES EN LA FUENTE
====================================

AMC.us  |  (US - AMC)
AMC.uy  |  (UY - AMC)
AMC.ve  |  (VE - AMC)
AMCBreak.es  |  (ES - AMC Break)
AMCCrime.es  |  (ES - AMC Crime)
AMCLatinAmerica.ec  |  (EC - AMC Latin America)
AMCLiving.es  |  (ES - AMC Living)
AMCPacific.us  |  (US - AMC West)
AMCPlus.us  |  (US - AMCPLUS)
AMCThrillers.us  |  (US - AMC Thrillers)
AMCenespanol.pluto  |  (PLUTO - AMC en español)
AMERICA.uy  |  (UY - AMERICA)
AMERICA24.uy  |  (UY - AMERICA 24)
AMERICATEVE.us  |  (US - AMERICA TEVE)
AMGTV.us  |  (US - AMG TV)
ANIMALPLANET.uy  |  (UY - ANIMAL PLANET)
ANTENA3.uy  |  (UY - ANTENA3)
APunt.es  |  (ES - À Punt)
ARCWWMTDT2.us  |  (US - ARC WWMT-DT2 Grand Rapids Kalamazoo MI)
ARTV.cl  |  (CL - ARTV)
ASN.mx  |  (MX - ASN [Adrenalina Sports Network])
ASPiRE.us  |  (US - ASPiRE)
ASUNTOSPUBLICOS.uy  |  (UY - ASUNTOS PUBLICOS)
AStateofArmin.sxm  |  (SXM - A State of Armin)
ATRESseries.us  |  (US - A3 Series)
ATV+.pe  |  (PE - ATV +)
ATV.pe  |  (PE - ATV)
ATVSur.pe  |  (PE - ATV Sur)
AWE.us  |  (US - AWE)
AWEPlus.us  |  (US - AWE Plus)
AXN.ar  |  (AR - AXN)
AXN.cl  |  (CL - AXN)
AXN.co  |  (CO - AXN)
AXN.es  |  (ES - AXN)
AXN.mx  |  (MX - AXN)
AXN.pe  |  (PE - AXN)
AXN.uy  |  (UY - AXN)
AXN.ve  |  (VE - AXN)
AXNAndes.ec  |  (EC - AXN Andes)
AXNLatinAmerica.ec  |  (EC - AXN Latin America)
AXNWhite.es  |  (ES - AXN White)
AXSTV.us  |  (US - AXS TV)
AXSTVNOW.us  |  (US - AXS TV NOW)
AYMSports.mx  |  (MX - AYM Sports)
AZCorazon.us  |  (US - AZ Corazón)
AZTVKAZT.us  |  (US - AZTV AZ TV KAZT Phoenix AZ)
AandE.ar  |  (AR - A&E)
AandE.uy  |  (UY - A&E)
AandE.ve  |  (VE - AandE)
AandEAndes.ec  |  (EC - A&E Andes)
AandENetwork.us  |  (US - A&E Network)
AandENetworkPacific.us  |  (US - A&E Network West)
AapkaColors.us  |  (US - Aapka Colors)
AbbotsfordCanucks.ahl  |  (AHL - Abbotsford Canucks)
AbileneChristianWildcats.ncaaf  |  (NCAAF - Abilene Christian Wildcats)
AcapulcoShore.pluto  |  (PLUTO - Acapulco Shore)
AcapulcoShore1.pluto  |  (PLUTO - Acapulco Shore 1)
Accuweather.us  |  (US - Accuweather)
AceTVWBXZD10.us  |  (US - AceTV WBXZ-D10 Buffalo NY)
ActionPlus.us  |  (US - Action Plus)
